Name,Price,Smartphone OS,IMG PATH,Screen Resolution,Screen size,Processor,GPU,RAM 
Panasonic Eluga X1 Pro,"12,290",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/Panasonic Eluga X1 1.jpg,1080x2246 pixels (~ 403 pixels per inch),6.18 inches,"2 GHz, Octa Core, MediaTek Helio P60",Mali-G72 MP3,6 GB
"realme 1 (6GB RAM, 128GB)","13,990","Android 8.1 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/realme 1 1.jpg,1080x2160 pixels (~ 402 pixels per inch),6 inches,"2 GHz, Octa Core, Mediatek Helio P60",Mali-G72 MP3,6 GB
Samsung Galaxy S7,"39,999","Android 6.0 Marshmallow, Upgradeable to 8.0 Oreo",https://www.phonecurry.com/img/phones/Samsung Galaxy S7 1.jpg,1440x2560 pixels (~ 576 pixels per inch),5.1 inches,"2.3 GHz, Octa Core, Samsung Exynos 8890",Mali-T880 MP12,4 GB
LG V20,"54,990","Android 7.0 Nougat, Upgradeable to 8.0 Oreo",https://www.phonecurry.com/img/phones/LG V20 1.jpg,1440x2560 pixels (~ 515 pixels per inch),5.7 inches,"2.15 GHz, Quad Core, Qualcomm MSM8996 Snapdragon 820",Adreno 530,4 GB
Apple iPhone 6 32GB,"28,999","Apple iOS 8, Upgradeable to 12.3",https://www.phonecurry.com/img/phones/Apple iPhone 6 1.jpg,750x1334 pixels (~ 326 pixels per inch),4.7 inches,"1.4 GHz, Dual Core, A8 chip with 64-bit architecture, M8 motion coprocessor",PowerVR GX6650 (hexa-core graphics),1 GB
"Huawei Honor 10 Lite (4GB RAM, 64GB)","11,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Huawei Honor 10 Lite 1.jpg,1080x2340 pixels (~ 415 pixels per inch),6.21 inches,"2.2 GHz, Octa Core, Hisilicon Kirin 710",Mali-G51 MP4,4 GB
"Oppo F5 (6GB RAM, 64GB)","15,499",Android 7.1 Nougat,https://www.phonecurry.com/img/phones/Oppo F5 1.jpg,1080x2160 pixels (~ 402 pixels per inch),6 inches,"2.5 GHz, Octa Core, Mediatek Helio P23",Mali-G71 MP2,6 GB
Motorola Moto Z,"39,999","Android 6.0 Marshmallow, Upgradeable to 8.0 Oreo",https://www.phonecurry.com/img/phones/Motorola Moto Z 1.jpg,1440x2560 pixels (~ 534 pixels per inch),5.5 inches,"1.8 GHz, Quad Core, Qualcomm MSM8996 Snapdragon 820",Adreno 530,4 GB
Samsung Galaxy J8,"13,494","Android 8.0 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Samsung Galaxy J8 1.jpg,720x1480 pixels (~ 274 pixels per inch),6 inches,"1.8 GHz, Octa Core, Qualcomm Snapdragon 450",Adreno 506,4 GB
Xiaomi Redmi 7 (3GB RAM),"8,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Xiaomi Redmi 7 1.jpg,720x1520 pixels (~ 269 pixels per inch),6.26 inches,"1.8 GHz, Octa Core, Qualcomm Snapdragon 632",Adreno 506,3 GB
"Samsung Galaxy M20 (3GB RAM, 32GB)","9,990","Android 8.1 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Samsung Galaxy M20 1.jpg,1080x2340 pixels (~ 409 pixels per inch),6.3 inches,"1.8 GHz, Octa Core, Samsung Exynos 7904",Mali-G71 MP2,3 GB
"Vivo Y93 (4GB RAM, 32GB)","12,990",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/Vivo Y93 1.jpg,720x1520 pixels (~ 270 pixels per inch),6.22 inches,"2 GHz, Octa Core, MediaTek Helio P22",PowerVR GE8320,4 GB
Vivo V9 Youth,"12,499",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/Vivo V9 Youth 1.jpg,1080x2160 pixels (~ 383 pixels per inch),6.3 inches,"1.8 GHz, Octa Core, Qualcomm Snapdragon 450",Adreno 506,4 GB
Huawei Y9 (2019),"12,490",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/Huawei Y9 1.jpg,1080x2340 pixels (~ 396 pixels per inch),6.5 inches,"2.2 GHz, Octa Core, Hisilicon Kirin 710",Mali-G51 MP4,4 GB
"Asus Zenfone Max M2 (4GB RAM, 64GB)","10,499","Android 8.1 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Asus Zenfone Max M2 1.jpg,720x1520 pixels (~ 267 pixels per inch),6.3 inches,"1.8 GHz, Octa Core, Qualcomm Snapdragon 632",Adreno 506,4 GB
Apple iPhone SE 128GB,"31,999","Apple iOS 9.3, Upgradeable to 12.3",https://www.phonecurry.com/img/phones/Apple iPhone SE 1.jpg,640x1136 pixels (~ 326 pixels per inch),4 inches,"1.8 GHz, Dual Core, Apple A9 Chip",PowerVR GT7600 (six-core graphics),2 GB
"Nokia 5.1 Plus (3GB RAM, 32GB)","9,499","Android 8.1 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Nokia 5.1 Plus 1.jpg,720x1520 pixels (~ 287 pixels per inch),5.86 inches,"1.8 GHz, Octa Core, MediaTek Helio P60",Mali-G72 MP3,3 GB
"Asus Zenfone Max Pro M1 (3GB RAM, 32GB)","8,499","Android 8.1 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Asus Zenfone Max Pro M1 1.jpg,1080x2160 pixels (~ 403 pixels per inch),5.99 inches,"1.8 GHz, Octa Core, Qualcomm Snapdragon 636",Adreno 509,3 GB
Samsung Galaxy A6 Plus,"14,444","Android 8.0 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Samsung Galaxy A6 Plus 1.jpg,1080x2220 pixels (~ 411 pixels per inch),6 inches,"1.8 GHz, Octa Core, Qualcomm Snapdragon 450",Adreno 506,4 GB
"Huawei Honor 10 Lite (6GB RAM, 64GB)","15,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Huawei Honor 10 Lite 1.jpg,1080x2340 pixels (~ 415 pixels per inch),6.21 inches,"2.2 GHz, Octa Core, Hisilicon Kirin 710",Mali-G51 MP4,6 GB
Motorola One,"12,485","Android 8.1 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Motorola One 1.jpg,720x1520 pixels (~ 285 pixels per inch),5.9 inches,"2 GHz, Octa Core, Qualcomm Snapdragon 625",Adreno 506,4 GB
Oppo A7 (4GB RAM),"13,990",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/Oppo A7 1.jpg,720x1520 pixels (~ 271 pixels per inch),6.2 inches,"1.8 GHz, Octa Core, Qualcomm Snapdragon 450",Adreno 506,4 GB
Panasonic Eluga X1,"9,499",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/Panasonic Eluga X1 1.jpg,1080x2246 pixels (~ 403 pixels per inch),6.18 inches,"2 GHz, Octa Core, MediaTek Helio P60",Mali-G72 MP3,4 GB
Oppo A5 32GB,"10,994",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/Oppo A5 1.jpg,720x1520 pixels (~ 271 pixels per inch),6.2 inches,"1.8 GHz, Octa Core, Qualcomm Snapdragon 450",Adreno 506,4 GB
Infinix Note 5 Stylus,"15,999",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/Infinix Note 5 Stylus 1.jpg,1080x2160 pixels (~ 402 pixels per inch),6 inches,"2 GHz, Octa Core, MediaTek Helio P23",Mali-G71 MP2,4 GB
"realme 1 (4GB RAM, 64GB)","10,430","Android 8.1 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/realme 1 1.jpg,1080x2160 pixels (~ 402 pixels per inch),6 inches,"2 GHz, Octa Core, Mediatek Helio P60",Mali-G72 MP3,4 GB
Samsung Galaxy A20,"11,490",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Samsung Galaxy A20 1.jpg,720x1560 pixels (~ 268 pixels per inch),6.4 inches,"1.6 GHz, Octa Core, Samsung Exynos 7884",Mali-G71 MP2,3 GB
Xiaomi Mi Max 2 64GB,"14,999","Android 7.1 Nougat, Upgradeable to 8.0 Oreo",https://www.phonecurry.com/img/phones/Xiaomi Mi Max 2 1.jpg,1080x1920 pixels (~ 344 pixels per inch),6.4 inches,"2 GHz, Octa Core, Qualcomm Snapdragon 625",Adreno 506,4 GB
Motorola Moto Z2 Play,"14,990","Android 7.1 Nougat, Upgradeable to 8.0 Oreo",https://www.phonecurry.com/img/phones/Motorola Moto Z2 Play 1.jpg,1080x1920 pixels (~ 401 pixels per inch),5.5 inches,"2.2 GHz, Octa Core, Qualcomm Snapdragon 626",Adreno 506,4 GB
"Xiaomi Redmi 6 Pro (4GB RAM, 64GB)","9,999","Android 8.1 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Xiaomi Redmi 6 Pro 1.jpg,1080x2280 pixels (~ 432 pixels per inch),5.84 inches,"2 GHz, Octa Core, Qualcomm Snapdragon 625",Adreno 506,4 GB
Asus Zenfone Zoom S ZE553KL,"26,999","Android 6.0 Marshmallow, Upgradeable to 8.0 Oreo",https://www.phonecurry.com/img/phones/Asus Zenfone 3 Zoom ZE553KL 1.jpg,1080x1920 pixels (~ 401 pixels per inch),5.5 inches,"2 GHz, Octa Core, Qualcomm Snapdragon 625",Adreno 506,4 GB
TECNO Camon iClick 2,"9,990",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/TECNO Camon iClick 2 1.jpg,720x1520 pixels (~ 271 pixels per inch),6.2 inches,"2 GHz, Octa Core, MediaTek Helio P22",PowerVR GE8320,4 GB
"Xiaomi Redmi Y2 (4GB RAM, 64GB)","9,940","Android 8.1 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Xiaomi Redmi Y2 1.jpg,720x1440 pixels (~ 269 pixels per inch),5.99 inches,"2 GHz, Octa Core, Qualcomm Snapdragon 625",Adreno 506,4 GB
Samsung Galaxy A7 (2017),"25,899","Android 6.0 Marshmallow, Upgradeable to 8.0 Oreo",https://www.phonecurry.com/img/phones/Samsung Galaxy A7 (2017) 1.jpg,1080x1920 pixels (~ 386 pixels per inch),5.7 inches,"1.9 GHz, Octa Core, Exynos 7880",Mali-T830 MP3,3 GB
"Infinix Note 5 (4GB RAM, 64GB)","8,999",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/Infinix Note 5 1.jpg,1080x2160 pixels (~ 403 pixels per inch),5.99 inches,"2 GHz, Octa Core, MediaTek Helio P23",Mali-G71 MP2,4 GB
Oppo A7 (3GB RAM),"11,999",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/Oppo A7 1.jpg,720x1520 pixels (~ 271 pixels per inch),6.2 inches,"1.8 GHz, Octa Core, Qualcomm Snapdragon 450",Adreno 506,3 GB
"Xiaomi Redmi Note 5 (4GB RAM, 64GB)","9,999","Android 7.1 Nougat, Upgradeable to 8.1 Oreo",https://www.phonecurry.com/img/phones/Xiaomi Redmi Note 5 1.jpg,1080x2160 pixels (~ 403 pixels per inch),5.99 inches,"1.8 GHz, Octa Core, Qualcomm Snapdragon 625",Adreno 506,4 GB
"Motorola Moto X4 (6GB RAM, 64GB)","10,999","Android 8.0 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Motorola Moto X4 1.jpg,1080x1920 pixels (~ 424 pixels per inch),5.2 inches,"2.2 GHz, Octa Core, Qualcomm Snapdragon 630",Adreno 508,6 GB
"realme 2 (4GB RAM, 64GB)","10,990",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/realme 2 1.jpg,720x1520 pixels (~ 271 pixels per inch),6.2 inches,"1.8 GHz, Octa Core, Qualcomm Snapdragon 450",Adreno 506,4 GB
"Nokia 6.1 (4GB RAM, 64GB)","9,528","Android 7.1 Nougat, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Nokia 6 (2018) 1.jpg,1080x1920 pixels (~ 401 pixels per inch),5.5 inches,"2.2 GHz, Octa Core, Qualcomm Snapdragon 630",Adreno 508,4 GB
"Vivo Y93 (3GB RAM, 64GB)","11,699",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/Vivo Y93 1.jpg,720x1520 pixels (~ 270 pixels per inch),6.22 inches,"2 GHz, Octa Core, MediaTek Helio P22",PowerVR GE8320,3 GB
LG Q Stylus Plus,"14,950",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/LG Q Stylus Plus 1.jpg,1080x2160 pixels (~ 390 pixels per inch),6.2 inches,"1.5 GHz, Octa Core, MediaTek MT6750",Mali-T860 MP2,4 GB
Samsung Galaxy On8 (2018),"16,990",Android 8.0 Oreo,https://www.phonecurry.com/img/phones/Samsung Galaxy On8 (2018) 1.jpg,720x1480 pixels (~ 274 pixels per inch),6 inches,"1.8 GHz, Octa Core, Qualcomm Snapdragon 450",Adreno 506,4 GB
Sony Xperia XA1 Ultra,"22,990","Android 7.0 Nougat, Upgradeable to 8.0 Oreo",https://www.phonecurry.com/img/phones/Sony Xperia XA1 Ultra 1.jpg,1080x1920 pixels (~ 367 pixels per inch),6 inches,"2.3 GHz, Octa Core, Mediatek Helio P20",Mali-T880 MP2,4 GB
Infinix S4,"8,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Infinix S4 1.jpg,720x1520 pixels (~ 271 pixels per inch),6.21 inches,"2 GHz, Octa Core, MediaTek Helio P22",PowerVR GE8320,3 GB
Oppo F3 Plus (6GB RAM),"22,990",Android 6.0 Marshmallow,https://www.phonecurry.com/img/phones/Oppo F3 Plus 1.jpg,1080x1920 pixels (~ 367 pixels per inch),6 inches,"1.95 GHz, Octa Core, Qualcomm Snapdragon 653",Adreno 510,6 GB
Xiaomi Mi A1,"9,190","Android 7.1 Nougat, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Xiaomi Mi A1 1.jpg,1080x1920 pixels (~ 401 pixels per inch),5.5 inches,"2 GHz, Octa Core, Qualcomm Snapdragon 625",Adreno 506,4 GB
"Asus Zenfone Max M2 (3GB RAM, 32GB)","8,499","Android 8.1 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Asus Zenfone Max M2 1.jpg,720x1520 pixels (~ 267 pixels per inch),6.3 inches,"1.8 GHz, Octa Core, Qualcomm Snapdragon 632",Adreno 506,3 GB
Xiaomi Redmi 7 (2GB RAM),"7,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Xiaomi Redmi 7 1.jpg,720x1520 pixels (~ 269 pixels per inch),6.26 inches,"1.8 GHz, Octa Core, Qualcomm Snapdragon 632",Adreno 506,2 GB
Vivo Y83,"10,098",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/Vivo Y83 1.jpg,720x1520 pixels (~ 270 pixels per inch),6.22 inches,"2 GHz, Octa Core, MediaTek Helio P22",PowerVR GE8320,4 GB
Oppo A5s,"8,899",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/Oppo A5s 1.jpg,720x1520 pixels (~ 271 pixels per inch),6.2 inches,"2.3 GHz, Octa Core, MediaTek Helio P35",PowerVR GE8320,2 GB
"Oppo F5 (4GB RAM, 32GB)","12,849",Android 7.1 Nougat,https://www.phonecurry.com/img/phones/Oppo F5 1.jpg,1080x2160 pixels (~ 402 pixels per inch),6 inches,"2.5 GHz, Octa Core, Mediatek Helio P23",Mali-G71 MP2,4 GB
"TECNO Camon i4 (4GB RAM, 64GB)","11,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/TECNO Camon i4 1.jpg,720x1520 pixels (~ 271 pixels per inch),6.2 inches,"2 GHz, Octa Core, MediaTek Helio P22",PowerVR GE8320,4 GB
Samsung Galaxy J7 Duo,"13,950",Android 8.0 Oreo,https://www.phonecurry.com/img/phones/Samsung Galaxy J7 Duo 1.jpg,720x1280 pixels (~ 267 pixels per inch),5.5 inches,"1.6 GHz, Octa Core, Samsung Exynos 7870",Mali-T830 MP2,4 GB
Infinix Zero 5 Pro,"19,999",Android 7.0 Nougat,https://www.phonecurry.com/img/phones/Infinix Zero 5 1.jpg,1080x1920 pixels (~ 368 pixels per inch),5.98 inches,"2.6 GHz, Octa Core, MediaTek Helio P25",Mali-T880 MP2,6 GB
"Xiaomi Redmi 6 Pro (3GB RAM, 32GB)","8,990","Android 8.1 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Xiaomi Redmi 6 Pro 1.jpg,1080x2280 pixels (~ 432 pixels per inch),5.84 inches,"2 GHz, Octa Core, Qualcomm Snapdragon 625",Adreno 506,3 GB
"Xiaomi Redmi Y2 (3GB RAM, 32GB)","8,399","Android 8.1 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Xiaomi Redmi Y2 1.jpg,720x1440 pixels (~ 269 pixels per inch),5.99 inches,"2 GHz, Octa Core, Qualcomm Snapdragon 625",Adreno 506,3 GB
"realme 2 (3GB RAM, 32GB)","8,790",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/realme 2 1.jpg,720x1520 pixels (~ 271 pixels per inch),6.2 inches,"1.8 GHz, Octa Core, Qualcomm Snapdragon 450",Adreno 506,3 GB
Vivo Y83 Pro,"11,994",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/Vivo Y83 Pro 1.jpg,720x1520 pixels (~ 270 pixels per inch),6.22 inches,"2 GHz, Octa Core, MediaTek Helio P22",PowerVR GE8320,4 GB
Samsung Galaxy J7 Pro,"16,900","Android 7.0 Nougat, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Samsung Galaxy J7 Pro 1.jpg,1080x1920 pixels (~ 401 pixels per inch),5.5 inches,"1.6 GHz, Octa Core, Samsung Exynos 7870",Mali-T830 MP2,3 GB
TECNO Camon iClick,"11,699",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/TECNO Camon iClick 1.jpg,720x1440 pixels (~ 268 pixels per inch),6 inches,"2 GHz, Octa Core, MediaTek Helio P23",Mali-G71 MP2,4 GB
"Motorola Moto G6 (4GB RAM, 64GB)","9,390","Android 8.0 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Motorola Moto G6 1.jpg,1080x2160 pixels (~ 424 pixels per inch),5.7 inches,"1.8 GHz, Octa Core, Qualcomm Snapdragon 450",Adreno 506,4 GB
"Motorola Moto X4 (4GB RAM, 64GB)","10,200","Android 7.1 Nougat, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Motorola Moto X4 1.jpg,1080x1920 pixels (~ 424 pixels per inch),5.2 inches,"2.2 GHz, Octa Core, Qualcomm Snapdragon 630",Adreno 508,4 GB
"Xiaomi Redmi Note 5 (3GB RAM, 32GB)","8,499","Android 7.1 Nougat, Upgradeable to 8.1 Oreo",https://www.phonecurry.com/img/phones/Xiaomi Redmi Note 5 1.jpg,1080x2160 pixels (~ 403 pixels per inch),5.99 inches,"1.8 GHz, Octa Core, Qualcomm Snapdragon 625",Adreno 506,3 GB
"Oppo A3s (4GB RAM, 64GB)","9,990",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/Oppo A3s 1.jpg,720x1520 pixels (~ 271 pixels per inch),6.2 inches,"1.8 GHz, Octa Core, Qualcomm Snapdragon 450",Adreno 506,4 GB
Xiaomi Redmi 6 64GB,"7,499",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/Xiaomi Redmi 6 1.jpg,720x1440 pixels (~ 295 pixels per inch),5.45 inches,"2 GHz, Octa Core, MediaTek Helio P22",PowerVR GE8320,3 GB
Oppo F5 Youth,"11,350",Android 7.1 Nougat,https://www.phonecurry.com/img/phones/Oppo F5 Youth 1.jpg,1080x2160 pixels (~ 402 pixels per inch),6 inches,"2.5 GHz, Octa Core, Mediatek Helio P23",Mali-G71 MP2,3 GB
Infinix Zero 5,"17,999",Android 7.0 Nougat,https://www.phonecurry.com/img/phones/Infinix Zero 5 1.jpg,1080x1920 pixels (~ 368 pixels per inch),5.98 inches,"2.6 GHz, Octa Core, MediaTek Helio P25",Mali-T880 MP2,6 GB
Apple iPhone SE 32GB,"25,999","Apple iOS 9.3, Upgradeable to 12.3",https://www.phonecurry.com/img/phones/Apple iPhone SE 1.jpg,640x1136 pixels (~ 326 pixels per inch),4 inches,"1.8 GHz, Dual Core, Apple A9 Chip",PowerVR GT7600 (six-core graphics),2 GB
"Huawei Honor 10 Lite (3GB RAM, 32GB)","9,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Huawei Honor 10 Lite 1.jpg,1080x2340 pixels (~ 415 pixels per inch),6.21 inches,"2.2 GHz, Octa Core, Hisilicon Kirin 710",Mali-G51 MP4,3 GB
"Samsung Galaxy M10 (3GB RAM, 32GB)","8,990","Android 8.1 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Samsung Galaxy M10 1.jpg,720x1520 pixels (~ 270 pixels per inch),6.22 inches,"1.6 GHz, Octa Core, Samsung Exynos 7870",Mali-T830 MP2,3 GB
"Infinix Note 5 (3GB RAM, 32GB)","7,499",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/Infinix Note 5 1.jpg,1080x2160 pixels (~ 403 pixels per inch),5.99 inches,"2 GHz, Octa Core, MediaTek Helio P23",Mali-G71 MP2,3 GB
Oppo F3 Plus (4GB RAM),"15,549",Android 6.0 Marshmallow,https://www.phonecurry.com/img/phones/Oppo F3 Plus 1.jpg,1080x1920 pixels (~ 367 pixels per inch),6 inches,"1.95 GHz, Octa Core, Qualcomm Snapdragon 653",Adreno 510,4 GB
Xiaomi Mi Max 2 32GB,"14,999","Android 7.1 Nougat, Upgradeable to 8.0 Oreo",https://www.phonecurry.com/img/phones/Xiaomi Mi Max 2 1.jpg,1080x1920 pixels (~ 344 pixels per inch),6.4 inches,"2 GHz, Octa Core, Qualcomm Snapdragon 625",Adreno 506,4 GB
"realme C2 (3GB RAM, 32GB)","7,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/realme C2 1.jpg,720x1560 pixels (~ 282 pixels per inch),6.1 inches,"2 GHz, Octa Core, MediaTek Helio P22",PowerVR GE8320,3 GB
"Huawei Honor 9N (4GB RAM, 128GB)","10,999",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/Huawei Honor 9N 1.jpg,1080x2280 pixels (~ 432 pixels per inch),5.84 inches,"2.36 GHz, Octa Core, HiSilicon Kirin 659",Mali-T830 MP2,4 GB
Nokia 5.1,"7,999","Android 8.0 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Nokia 5.1 1.jpg,1080x2160 pixels (~ 439 pixels per inch),5.5 inches,"1.8 GHz, Octa Core, MediaTek Helio P18",Mali-T860 MP2,3 GB
Samsung Galaxy On Max,"10,990","Android 7.0 Nougat, Upgradeable to 8.0 Oreo",https://www.phonecurry.com/img/phones/Samsung Galaxy On Max 1.jpg,1080x1920 pixels (~ 386 pixels per inch),5.7 inches,"2.39 GHz, Octa Core, MediaTek Helio P25 Lite",Mali-T880 MP2,4 GB
Nokia 3.1 Plus,"7,900","Android 8.0 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Nokia 3.1 Plus 1.jpg,720x1440 pixels (~ 260 pixels per inch),6.2 inches,"2 GHz, Octa Core, Mediatek Helio P22",PowerVR GE8320,3 GB
MEIZU Pro 7,"22,999",Android 7.0 Nougat,https://www.phonecurry.com/img/phones/MEIZU Pro 7 1.jpg,1080x1920 pixels (~ 424 pixels per inch),5.2 inches,"1.6 GHz, Octa Core, MediaTek Helio P25",Mali-T880 MP2,4 GB
"Nokia 6.1 (3GB RAM, 32GB)","8,990","Android 7.1 Nougat, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Nokia 6 (2018) 1.jpg,1080x1920 pixels (~ 401 pixels per inch),5.5 inches,"2.2 GHz, Octa Core, Qualcomm Snapdragon 630",Adreno 508,3 GB
Samsung Galaxy C7 Pro,"21,000","Android 6.0 Marshmallow, Upgradeable to 8.1 Oreo",https://www.phonecurry.com/img/phones/Samsung Galaxy C7 Pro 1.jpg,1080x1920 pixels (~ 386 pixels per inch),5.7 inches,"2.2 GHz, Octa Core, Qualcomm Snapdragon 626",Adreno 506,4 GB
Motorola Moto G6 Play,"8,700","Android 8.0 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Motorola Moto G6 Play 1.jpg,720x1440 pixels (~ 282 pixels per inch),5.7 inches,"1.4 GHz, Octa Core, Qualcomm Snapdragon 430",Adreno 505,3 GB
TECNO Camon i2X,"9,750",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/TECNO Camon i2X 1.jpg,720x1520 pixels (~ 271 pixels per inch),6.2 inches,"2 GHz, Octa Core, MediaTek Helio P22",PowerVR GE8320,4 GB
Samsung Galaxy A6 64GB,"14,994","Android 8.0 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Samsung Galaxy A6 1.jpg,720x1480 pixels (~ 294 pixels per inch),5.6 inches,"1.6 GHz, Octa Core, Samsung Exynos 7870",Mali-T830 MP2,4 GB
"Motorola Moto G6 (3GB RAM, 32GB)","9,189","Android 8.0 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Motorola Moto G6 1.jpg,1080x2160 pixels (~ 424 pixels per inch),5.7 inches,"1.8 GHz, Octa Core, Qualcomm Snapdragon 450",Adreno 506,3 GB
"Xiaomi Redmi 5 (4GB RAM, 64GB)","9,199","Android 7.1 Nougat, Upgradeable to 8.0 Oreo",https://www.phonecurry.com/img/phones/Xiaomi Redmi 5 1.jpg,720x1440 pixels (~ 282 pixels per inch),5.7 inches,"1.8 GHz, Octa Core, Qualcomm Snapdragon 450",Adreno 506,4 GB
HTC 10,"56,690","Android 6.0 Marshmallow, Upgradeable to 8.0 Oreo",https://www.phonecurry.com/img/phones/HTC One M10 1.jpg,1440x2560 pixels (~ 565 pixels per inch),5.2 inches,"2.2 GHz, Quad Core, Qualcomm Snapdragon 820",Adreno 530,4 GB
Xiaomi Redmi 6 32GB,"7,299",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/Xiaomi Redmi 6 1.jpg,720x1440 pixels (~ 295 pixels per inch),5.45 inches,"2 GHz, Octa Core, MediaTek Helio P22",PowerVR GE8320,3 GB
Vivo Y81 (3GB RAM),"7,990",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/Vivo Y81 1.jpg,720x1520 pixels (~ 270 pixels per inch),6.22 inches,"2 GHz, Octa Core, MediaTek Helio P22",PowerVR GE8320,3 GB
Vivo V7 Plus,"12,199",Android 7.1 Nougat,https://www.phonecurry.com/img/phones/Vivo V7 Plus 1.jpg,720x1440 pixels (~ 269 pixels per inch),5.99 inches,"1.8 GHz, Octa Core, Qualcomm Snapdragon 450",Adreno 506,4 GB
"realme C1 (3GB RAM, 2019)","8,390",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/realme C1 1.jpg,720x1520 pixels (~ 271 pixels per inch),6.2 inches,"1.8 GHz, Octa Core, Qualcomm Snapdragon 450",Adreno 506,3 GB
BlackBerry Evolve,"14,990",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/BlackBerry Evolve 1.jpg,1080x2160 pixels (~ 403 pixels per inch),5.99 inches,"1.8 GHz, Octa Core, Qualcomm Snapdragon 450",Adreno 506,4 GB
Huawei Honor 7X 64GB,"11,500","Android 7.0 Nougat, Upgradeable to 8.0 Oreo",https://www.phonecurry.com/img/phones/Huawei Honor 7X 1.jpg,1080x2160 pixels (~ 407 pixels per inch),5.93 inches,"2.36 GHz, Octa Core, HiSilicon Kirin 659",Mali-T830 MP2,4 GB
