Name,Price,Smartphone OS,IMG PATH,Screen Resolution,Screen size,Processor,GPU,RAM
Apple iPhone XS Max 64GB,"104,900","Apple iOS 12, Upgradeable to 12.3",https://www.phonecurry.com/img/phones/Apple iPhone XS Max 1.jpg,1242x2688 pixels (~ 456 pixels per inch),6.5 inches,"2.49 GHz, Hexa Core, Apple A12 Bionic",Apple GPU (4-core graphics),4 GB
Google Pixel 3 128GB,"58,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Google Pixel 3 1.jpg,1080x2160 pixels (~ 439 pixels per inch),5.5 inches,"2.5 GHz, Octa Core, Qualcomm Snapdragon 845",Adreno 630,4 GB
Apple iPhone XR 64GB,"57,349","Apple iOS 12, Upgradeable to 12.3",https://www.phonecurry.com/img/phones/Apple iPhone XR 1.jpg,828x1792 pixels (~ 324 pixels per inch),6.1 inches,"2.49 GHz, Hexa Core, Apple A12 Bionic",Apple GPU (4-core graphics),3 GB
"Asus 6z (8GB RAM, 256GB)","45,000",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Asus Zenfone 6 2019 1.jpg,1080x2340 pixels (~ 403 pixels per inch),6.4 inches,"2.84 GHz, Octa Core, Qualcomm Snapdragon 855",Adreno 640,8 GB
Apple iPhone XS 64GB,"94,900","Apple iOS 12, Upgradeable to 12.3",https://www.phonecurry.com/img/phones/Apple iPhone XS 1.jpg,1125x2436 pixels (~ 463 pixels per inch),5.8 inches,"2.49 GHz, Hexa Core, Apple A12 Bionic",Apple GPU (4-core graphics),4 GB
"OnePlus 7 (8GB RAM, 256GB)","37,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/OnePlus 7 1.jpg,1080x2340 pixels (~ 402 pixels per inch),6.41 inches,"2.84 GHz, Octa Core, Qualcomm Snapdragon 855",Adreno 640,8 GB
Google Pixel 3 64GB,"55,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Google Pixel 3 1.jpg,1080x2160 pixels (~ 439 pixels per inch),5.5 inches,"2.5 GHz, Octa Core, Qualcomm Snapdragon 845",Adreno 630,4 GB
"Xiaomi Black Shark 2 (6GB RAM, 128GB)","39,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Xiaomi Black Shark 2 1.jpg,1080x2340 pixels (~ 403 pixels per inch),6.39 inches,"2.84 GHz, Octa Core, Qualcomm Snapdragon 855",Adreno 640,6 GB
Huawei Mate 20 Pro,"59,990",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Huawei Mate 20 Pro 1.jpg,1440x3120 pixels (~ 538 pixels per inch),6.39 inches,"2.6 GHz, Octa Core, HiSilicon Kirin 980",Mali-G76 MP10,6 GB
"Asus 6z (6GB RAM, 128GB)","40,000",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Asus Zenfone 6 2019 1.jpg,1080x2340 pixels (~ 403 pixels per inch),6.4 inches,"2.84 GHz, Octa Core, Qualcomm Snapdragon 855",Adreno 640,6 GB
"OnePlus 7 (6GB RAM, 128GB)","32,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/OnePlus 7 1.jpg,1080x2340 pixels (~ 402 pixels per inch),6.41 inches,"2.84 GHz, Octa Core, Qualcomm Snapdragon 855",Adreno 640,6 GB
Asus ROG Phone,"69,999",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/Asus ROG Phone 1.jpg,1080x2160 pixels (~ 402 pixels per inch),6 inches,"2.96 GHz, Octa Core, Qualcomm Snapdragon 845",Adreno 630,8 GB
Google Pixel 3a XL,"44,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Google Pixel 3a XL 1.jpg,1080x2160 pixels (~ 402 pixels per inch),6 inches,"2 GHz, Octa Core, Qualcomm Snapdragon 670",Adreno 615,4 GB
OnePlus 6T McLaren Edition,"41,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/OnePlus 6T McLaren Edition 1.jpg,1080x2340 pixels (~ 402 pixels per inch),6.41 inches,"2.8 GHz, Octa Core, Qualcomm Snapdragon 845",Adreno 630,10 GB
"Samsung Galaxy Note 9 (8GB RAM, 512GB)","73,799","Android 8.1 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Samsung Galaxy Note 9 1.jpg,1440x2960 pixels (~ 514 pixels per inch),6.4 inches,"2.7 GHz, Octa Core, Exynos 9810 Octa",Mali-G72 MP18,8 GB
"Samsung Galaxy Note 9 (6GB RAM, 128GB)","62,999","Android 8.1 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Samsung Galaxy Note 9 1.jpg,1440x2960 pixels (~ 514 pixels per inch),6.4 inches,"2.7 GHz, Octa Core, Exynos 9810 Octa",Mali-G72 MP18,6 GB
Apple iPhone X 256GB,"78,475","Apple iOS 11, Upgradeable to 12.3",https://www.phonecurry.com/img/phones/Apple iPhone X 1.jpg,1125x2436 pixels (~ 463 pixels per inch),5.8 inches,"2.39 GHz, Hexa Core, A11 Bionic with Neural Engine and M11 Motion Coprocessor",Apple GPU,3 GB
Apple iPhone X 64GB,"67,999","Apple iOS 11, Upgradeable to 12.3",https://www.phonecurry.com/img/phones/Apple iPhone X 1.jpg,1125x2436 pixels (~ 463 pixels per inch),5.8 inches,"2.39 GHz, Hexa Core, A11 Bionic with Neural Engine and M11 Motion Coprocessor",Apple GPU,3 GB
Google Pixel 3a,"39,998",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Google Pixel 3a 1.jpg,1080x2220 pixels (~ 441 pixels per inch),5.6 inches,"2 GHz, Octa Core, Qualcomm Snapdragon 670",Adreno 615,4 GB
"OnePlus 6T (8GB RAM, 256GB)","45,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/OnePlus 6T 1.jpg,1080x2340 pixels (~ 402 pixels per inch),6.41 inches,"2.8 GHz, Octa Core, Qualcomm Snapdragon 845",Adreno 630,8 GB
